Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
0;40;0.03;0.0;6;9;1600;0;423;0;1177;0
1;40;0.03;0.0;6;9;1600;0;423;0;1177;0
2;40;0.03;0.0;6;9;1600;0;423;0;1177;0
3;40;0.03;0.0;6;9;1600;0;423;0;1177;0
4;40;0.03;0.0;6;9;1600;0;423;0;1177;0
5;40;0.03;0.0;6;9;1600;0;423;0;1177;0
6;40;0.03;0.0;6;9;1600;0;423;0;1177;0
7;40;0.03;0.0;6;9;1600;0;423;0;1177;0
8;40;0.03;0.0;6;9;1600;0;423;0;1177;0
9;40;0.03;0.0;6;9;1600;0;423;0;1177;0
0;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
1;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
2;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
3;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
4;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
5;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
6;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
7;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
8;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
9;40;0.0301;0.0;6;9;1600;0;443;0;1157;0
0;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
1;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
2;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
3;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
4;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
5;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
6;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
7;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
8;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
9;40;0.0302;0.0;6;9;1600;0;355;0;1245;0
0;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
1;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
2;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
3;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
4;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
5;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
6;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
7;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
8;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
9;40;0.0303;0.0;6;9;1600;0;520;0;1080;0
0;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
1;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
2;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
3;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
4;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
5;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
6;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
7;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
8;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
9;40;0.0304;0.0;6;9;1600;0;509;0;1091;0
0;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
1;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
2;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
3;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
4;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
5;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
6;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
7;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
8;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
9;40;0.0305;0.0;6;9;1600;0;509;0;1091;0
0;40;0.0306;0.0;6;9;1600;0;509;0;1091;0
1;40;0.0306;0.0;6;9;1600;0;509;0;1091;0
2;40;0.0306;0.0;6;9;1600;0;509;0;1091;0
3;40;0.0306;0.0;6;9;